CAMPAÑA,ON/OFF,TIPO DE CAMPAÑA,UBIC,INVERSIÓN POR CAMPAÑA,TOTAL DE LOTES VENDIDOS,CPA x CAMPAÑA,FEBRERO,,,,,,,,
26/03/25 FORM META PRUEBAS,,CP,META,$1.278.112,3,426.037,2,,,,,,,,
CP_24/07/2025_VIDEOSCOOL_FORM,,CP,META,$1.052.274,1,1.052.274,0,,,,,,,,
28/08/2025_CP_VIDEOHAMBURGUES2_FORM#1,,CP,META,$1.093.694,2,546.847,0,,,,,,,,
24/09/2025_CP_VIDEOSSEPT_FORM,,CP,META,$372.701,0,372.701,0,,,,,,,,
07/10/2025_CP_VIDEOSGRAL_ALMUERZO_FORM,,CP,META,$2.219.929,4,554.982,1,,,,,,,,
20/10/25_CP_EVENTO26OCT_FORM,,CP,META,$2.102.820,4,525.705,2,,,,,,,,
29/10/25_GENERALOCT_FORM,,CP,META,$914.407,4,228.602,4,,,,,,,,
18/11/25_CP_PRUEBACA_FORM,,CP,META,$3.358.723,11,305.338,1,,,,,,,,
28/11/25_CP_GENERALNOV_FORM,,CP,META,$372.257,0,372.257,0,,,,,,,,
19/12/25_CP_VIDEOSNEWSDIC_FORM,,CP,META,$962.586,1,962.586,0,,,,,,,,
14/01/26_CP_VIDEOSENE_FORM,,CP,META,$422.642,0,422.642,0,,,,,,,,
04/02/26_CP_VIDEOSESTRATEGY_FORM,,CP,META,$433.766,1,433.766,1,,,,,,,,
05/02/26_CP_VIDEOSREMAKENEWSDIC_FORM,,CP,META,$259.692,0,259.692,0,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
META,,,$14.150.145,34,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
08/02/2026_CP_VIDEO2026REMKT_FORM,CP,TIKTOK,$364.111,2,182.056,2,,,,,,,,,
08/02/2026_CP_VIDEO2026_FORM,CP,TIKTOK,$609.369,0,609.369,0,,,,,,,,,
18/12/25_CP_DICÚLTIMOS_FORM,CP,TIKTOK,$1.359.852,3,453.284,0,,,,,,,,,
03/12/25_VIDEOSGRALNOV_FORM,CP,TIKTOK,$1.130.510,4,282.628,1,,,,,,,,,
05/11/25_CP_VIDEOSOCT_FORM,CP,TIKTOK,$1.143.223,6,190.537,3,,,,,,,,,
,,,,,,,,,,,,,,,
TIKTOK,,,$3.633.585,18,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FUENTE,INVERSIÓN EN ANUNCIOS ENERO 2026,INVERSIÓN EN ANUNCIOS FEBRERO 2026,INVERSIÓN EN ANUNCIOS MARZO 2026,INVERSIÓN EN ANUNCIOS ABRIL 2026,INVERSIÓN EN ANUNCIOS MAYO 2026,INVERSIÓN EN ANUNCIOS JUNIO 2026,INVERSIÓN EN ANUNCIOS JULIO 2026,INVERSIÓN EN ANUNCIOS AGOSTO 2026,INVERSIÓN EN ANUNCIOS SEPTIEMBRE 2026,INVERSIÓN EN ANUNCIOS OCTUBRE 2026,INVERSIÓN EN ANUNCIOS NOVIEMBRE 2026,INVERSIÓN EN ANUNCIOS DICIEMBRE 2026,,,
META,$8.735.925,,,,,,,,,,,,,,
GOOGLE ADS,$1.994.762,,,,,,,,,,,,,,
TIKTOK,$1.919.695,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,INVERSION EN ANUNCIOS,$12.650.382,,,,,,,,,,,,,
,CPA (general),"$269.157,06",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,
META,"$256.938,97",,,,,,,,,,,,,,
GOOGLE,$284.966,,,,,,,,,,,,,,
TIKTOK,$159.975,,,,,,,,,,,,,,
MENSAJE MASIVO,,,,,,,,,,,,,,,
TOTAL CPA,"$301.199,57",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CAC LOS LAGOS,PENDIENTE,,,,,,,,,,,#REF!,,,
CAC total,PENDIENTE,,,,,,,,,,,#REF!,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,INFORMACION COMERCIAL,,,,,,,,,,,,,,
,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,,,,
INMOBILIARIA,32,4,0,0,0,0,0,0,0,0,0,,,,
META,23,2,0,0,0,0,0,0,0,0,0,,,,
REFERIDO,21,0,0,0,0,0,0,0,0,0,0,,,,
STAND,0,0,0,0,0,0,0,0,0,0,0,,,,
PROYECTO,0,0,0,0,0,0,0,0,0,0,0,,,,
MERCADO ORGANICO ASESOR,2,0,0,0,0,0,0,0,0,0,0,,,,
VOZ A VOZ,0,0,0,0,0,0,0,0,0,0,0,,,,
GOOGLE ADS,7,1,0,0,0,0,0,0,0,0,0,,,,
MENSAJE MASIVO,0,0,0,0,0,0,0,0,0,0,0,,,,
TIKTOK,12,2,0,0,0,0,0,0,0,0,0,,,,
TOTAL,97,9,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,
,INFORMACION COMERCIAL,,,,,,,,,,,,,,
,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,
INMOBILIARIA,32,4,0,0,0,0,0,0,0,0,0,,,,
LOS LAGOS,65,5,0,0,0,0,0,0,0,0,0,,,,
TOTAL,97,9,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ASESORES ,,,,,,,,,,,,,,
ASESORES,ENERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL,,,
DANIELA PERALTA,10,0,0,0,0,0,0,0,0,0,0,10,,,
KAREN LAMBIS,13,0,0,0,0,0,0,0,0,0,0,13,,,
KEVIN DIAZ,8,0,0,0,0,0,0,0,0,0,0,8,,,
